English Name,Tamil Name
Tanishq Wheat Rava Upma,தனிஷ்க் கோதுமை ரவா உப்புமா
Tea Early,தேநீர் காலை
"Thennanguruthu,Pattani Thuvattal","தென்னங்குருத்து,பட்டாணி துவட்டல்"
Thokku - Keerai Thokku,Thokku - கீரை தொக்கு
Thokku - Keerai Thokku Thalippu,Thokku - கீரை தொக்கு தாளிப்பு
Thokku - Palak Keerai Thokku,Thokku - பாலக் கீரை தொக்கு
Thokku - Tomato,Thokku - தக்காளி
Thuvaiyal - Chammandhi,Thuvaiyal - சம்மந்தி
Thuvayal - Black Channa Thuvayal,Thuvayal - கருப்பு சென்னா துவையல்
Thuvayal - Coconut,Thuvayal - தேங்காய்
"Thuvayal - Coconut, Mango","Thuvayal - தேங்காய், மாங்காய்"
Thuvayal - Kollu Thuvayal,Thuvayal - கொள்ளு துவையல்
Thuvayal - Malli,Thuvayal - மல்லி
Thuvayal - Peerkangaai,Thuvayal - பீர்க்கங்காய்
Thuvayal - Pudhina,Thuvayal - புதினா
Thuvayal - Snakegourd,Thuvayal - புடலங்காய்
Thuvayal - Thuvaramparuppu,Thuvayal - துவரம்பருப்பு
Thuvayal - Vendikaai,Thuvayal - வெண்டைக்காய்
Tiffen - Iyer Sambar Aravai,Tiffen - ஐயர் சாம்பார் அரைவை
Tiffen - Kumbakona Kadappa,Tiffen - கும்பகோணம் கடப்பா
Tiffen - Kumbakona Kadappa Aravai,Tiffen - கும்பகோணம் கடப்பா அரைவை
Tiffen Sambar Tempering,டிபன் சாம்பார் தாளிப்பு
Tiffin - Alleppey Thalippu,Tiffin - ஆலப்புழா தாளிப்பு
Tiffin - Alleppey Vegetable Curry,Tiffin - ஆலப்புழா காய்கறி கறி
Tiffin - Iyer Sambar,Tiffin - ஐயர் சாம்பார்
Tiffin - Kosmalli,Tiffin - கோஸ்மல்லி
Tiffin - Vadacurry,Tiffin - வடைகறி
Tiffin - Vadacurry Thalippu,Tiffin - வடைகறி தாளிப்பு
Tiffin - Vadacurry Vadai,Tiffin - வடைகறி வடை
Tiffin - Veg Sothi,Tiffin - காய்கறி சொதி
Tiffin-Adai Aviyal,Tiffin - அடை அவியல்
Tiffin-Carror Sambar,Tiffin - கேரட் சாம்பார்
Tiffin-Coconut Milk,Tiffin - தேங்காய் பால்
Tiffin-Coconut Milk (Nattu Sarkarai),Tiffin - தேங்காய் பால் (நாட்டு சர்க்கரை)
Tiffin-Kalla Veettu Avial Aravai,Tiffin - கடலை வீட்டு அவியல் அரைவை
Tiffin-Kalla Veettu Aviyal,Tiffin - கடலை வீட்டு அவியல்
Tiffin-Kudaimilagai Sambar,Tiffin - குடைமிளகாய் சாம்பார்
Tiffin-No Sugar Coconut Milk,Tiffin - வெங்காயம் இல்லாத சர்க்கரை தேங்காய் பால்
Tiffin-Paruppu Pachhadi,Tiffin - பருப்பு பச்சடி
Tiffin-Pasi Paruppu Pachadi,Tiffin - பாசி பருப்பு பச்சடி
Tiffin-Vengaya Kos( coconut),Tiffin - வெங்காய கோஸ்( தேங்காய்)
Tomato Gravy,தக்காளி கிரேவி
Tomato Juice,தக்காளி ஜூஸ்
Transport,போக்குவரத்து
Tricolor Idiyappam,மூவர்ண இடியாப்பம்
Tricolor Idiyappam Green,மூவர்ண இடியாப்பம் பச்சை
Tricolor Idiyappam Red,மூவர்ண இடியாப்பம் சிவப்பு
Tricolor Idiyappam White,மூவர்ண இடியாப்பம் வெள்ளை
UPMA - ARISI PARUPPU,UPMA - அரிசி பருப்பு
Upma - Arisi Upma Flour,Upma - அரிசி உப்புமா மாவு
Upma - Corn Rava Upma,Upma - கார்ன் ரவா உப்புமா
Upma - Idly,Upma - இட்லி
Upma - Kambu Upma,Upma - கம்பு உப்புமா
Upma - Rava Kuska,Upma - ரவா குஸ்கா
Upma - Rava Upma,Upma - ரவா உப்புமா
Upma- Arisi Upma,Upma - அரிசி உப்புமா
Upma- Kuthiravali Upma,Upma - குதிரைவாலி உப்புமா
Upma- Veg.Rava Upma,Upma - Veg.Rava உப்புமா
Upma-Chola Rava Upma,Upma - சோள ரவா உப்புமா
Upma-Dalia Veg Upma,Upma - உடைந்த கோதுமை காய்கறி உப்புமா
Upma-Kattuyanam Upma,Upma - காட்டுயானம் உப்புமா
Upma-Navara Upma,Upma - நவரா உப்புமா
Upma-Wheat rava Upma,Upma - கோதுமை ரவா உப்புமா
"Urulai,Carrot,Cauliflower,Dry Butter Beans Perattal","உருளைக்கிழங்கு,கேரட்,காளிஃபிளவர்,உலர் வெண்ணெய் பீன்ஸ் பிரட்டல்"
Usili - Avarakkai Usili,Usili - அவரைக்காய் உசிலி
Usili - BajjiMilagaai,Usili - பஜ்ஜி மிளகாய்
Usili - Kothavarangai Usil,Usili - கொத்தவரங்காய் உசிலி
Usili - Mixed Veg Usili,Usili - கலவை காய்கறி உசிலி
Usili - Muttaikos Usili,Usili - முட்டைக்கோஸ் உசிலி
Usili - Vendakaai,Usili - வெண்டைக்காய்
Usili- Beans Usili,Usili - பீன்ஸ் உசிலி
Usili- Beetroot Usili Aravai,Usili - பீட்ரூட் உசிலி அரைவை
Usili- Kothavarangai Usili Aravai,Usili - கொத்தவரங்காய் உசிலி அரைவை
Usili- Snake Gourd Uslil,Usili - புடலங்காய் சுரைக்காய் உசிலி
Usili-Beans Usili Aravai,Usili - பீன்ஸ் உசிலி அரைவை
Usili-Beetroot Usili,Usili - பீட்ரூட் உசிலி
Usili-Vazhaipoo Usili,Usili - வாழைப்பூ உசிலி
Usili-Vazhaipoo Usili Aravai,Usili - வாழைப்பூ உசிலி அரைவை
"VP - Avarai, Sakkaraivalli Poriyal","VP - அவரை, சர்க்கரைவள்ளி பொரியல்"
VP - Beans Palya,VP - பீன்ஸ் பல்யா
VP - Beans Palya Aravai,VP - பீன்ஸ் பல்யா அரைவை
VP - Beans Poriyal (New),VP - பீன்ஸ் பொரியல் (புதிய)
VP - Beetroot Poriyal,VP - பீட்ரூட் பொரியல்
VP - Broccoli Stir Fry,VP - ப்ரோக்கோலி வறுத்த வறுவல்
"VP - Cabbage, carrot , Beans  Poriyal","VP - முட்டைக்கோஸ், கேரட் , பீன்ஸ் பொரியல்"
"VP - Cabbage,Beans Poriyal","VP - முட்டைக்கோஸ்,பீன்ஸ் பொரியல்"
"VP - Cabbage,Carrot, Peas Poriyal","VP - முட்டைக்கோஸ்,கேரட், பட்டாணி பொரியல்"
"VP - Cabbage,Carrot,Fresh Peas Poriyal","VP - முட்டைக்கோஸ்,கேரட்,புதிய பட்டாணி பொரியல்"
"VP - Cabbage,Carrot,Sc Poriyal","VP - முட்டைக்கோஸ்,கேரட், பொரியல்"
"VP - Cabbage,Fresh Peas Poriyal","VP - முட்டைக்கோஸ்,புதிய பட்டாணி பொரியல்"
"VP - Carrot ,Panner, green peas Poriyal","VP - கேரட் ,பன்னீர், பச்சை பட்டாணி பொரியல்"
VP - Carrot Channa Poriyal,VP - கேரட் சென்னா பொரியல்
VP - Carrot Fresh Peas Poriyal,VP - கேரட் புதிய பட்டாணி பொரியல்
"VP - Carrot, Beans Poriyal","VP - கேரட், பீன்ஸ் பொரியல்"
"VP - Carrot, Corn,Peas Poriyal","VP - கேரட், கார்ன்,பட்டாணி பொரியல்"
"VP - Carrot,Mulaikattiya Pasi Payaru Thuvatal","VP - கேரட்,முளைகட்டிய பாசி பயறு துவட்டல்"
VP - Kos Thuvattal,VP - கோஸ் துவட்டல்
"VP - Paneer, Peas Poriyal","VP - பன்னீர், பட்டாணி பொரியல்"
"VP - Paneer, Sprouts Poriyal","VP - பன்னீர், முளைகட்டிய பயறு பொரியல்"
"VP - Panner,Green Peas Thuvatal","VP - பன்னீர்,பச்சை பட்டாணி துவட்டல்"
VP - Pumpkin Poriyal,VP - பரங்கிக்காய் பொரியல்
VP - Raw banana Palya,VP - பச்சை வாழைப்பழம் பல்யா
VP - Thatta Payithankai,VP - தட்டை பயத்தங்காய்
VP - Tricolor Poriyal,VP - மூவர்ண பொரியல்
VP - Tricolor Poriyal-2,VP - மூவர்ண பொரியல்-2
VP - Vazhaikaai Podimas,VP - வாழைக்காய் பொடிமாஸ்
VP - Vendaikaai Pepper Stri Fry,VP - வெண்டைக்காய் மிளகு வறுவல்
VP- Beans Poriyal,VP - பீன்ஸ் பொரியல்
"VP- Beens,Paneer Poriyal","VP - பீன்ஸ்,பன்னீர் பொரியல்"
"VP- Kos,Carrot Poriyal","VP - கோஸ்,கேரட் பொரியல்"
VP-Beans Poriyal Aravai,VP - பீன்ஸ் பொரியல் அரைவை
VP-Carrot Poriyal,VP - கேரட் பொரியல்
VP-Keerai Poriyal,VP - கீரை பொரியல்
VP-Keerai Poriyal Thalippu,VP - கீரை பொரியல் தாளிப்பு
"VP-Paneer,Broccoli,Green Peas Thuvattal","VP - பன்னீர்,ப்ரோக்கோலி,பச்சை பட்டாணி துவட்டல்"
VP-Vazhakkai Vellai Poriyal,VP - வாழைக்காய் வெள்ளை பொரியல்
VPC - Carrot Channa Poriyal,VPC - கேரட் சென்னா பொரியல்
VPD - Carrot Moong Dhall Poriyal,VPD - கேரட் பாசி பருப்பு பொரியல்
VPD - Carrot Toor Dhall Poriyal,VPD - கேரட் துவரம் பருப்பு பொரியல்
"VPD - Mullangi, Pasiparuppu Poriyal","VPD - முள்ளங்கி, பாசிப்பருப்பு பொரியல்"
"VPD - Mullangi, Toor Dal Poriyal","VPD - முள்ளங்கி, துவரம் பருப்பு பொரியல்"
"VPD - Pudalangaai, Paruppu Poriyal","VPD - புடலங்காய், பருப்பு பொரியல்"
VPD- Cabbage Moong Dal Poriyal,VPD - முட்டைக்கோஸ் பாசி பருப்பு பொரியல்
VPD- Vazhaithandu Poriyal,VPD - வாழைத்தண்டு பொரியல்
"VPD-Beans,Moongdal Poriyal","VPD - பீன்ஸ்,பாசிப்பருப்பு பொரியல்"
"VPD-Beans,Toor Dal Poriyal","VPD - பீன்ஸ்,துவரம் பருப்பு பொரியல்"
VPD-Cabbage Channa Dal Poriyal,VPD - முட்டைக்கோஸ் சென்னா பருப்பு பொரியல்
VPD-Cabbage Sprouts Poriyal,VPD - முட்டைக்கோஸ் முளைகட்டிய பயறு பொரியல்
VPD-Cabbage Toor Dal Poriyal,VPD - முட்டைக்கோஸ் துவரம் பருப்பு பொரியல்
VR - Akkaara Adisal,VR - அக்கார அடிசில்
VR - Aloo Aur Tamater Ka Pulao,VR - உருளைக்கிழங்கு & தக்காளி புலாவ்
VR - Channa Pulao,VR - சென்னா புலாவ்
VR - Coconut Rice,VR - தேங்காய் சாதம்
VR - Curd Rice,VR - தயிர் சாதம்
VR - Curd Rice Curd,VR - தயிர் சாதம் தயிர்
VR - Curryleaves Rice,VR - கருவேப்பிலை சாதம்
VR - Kuthiraiwali Curd Rice,VR - குதிரைவாலி தயிர் சாதம்
VR - Kuthiraiwali Sambar Rice,VR - குதிரைவாலி சாம்பார் சாதம்
VR - Kuthiraiwali Sambar Rice Aravai,VR - குதிரைவாலி சாம்பார் சாதம் அரைவை
VR - Kuthiraiwali Sambar Rice Thalippu,VR - குதிரைவாலி சாம்பார் சாதம் தாளிப்பு
VR - Kuthiravali Veg Pulao,VR - குதிரைவாலி காய்கறி புலாவ்
VR - Malli Rice,VR - மல்லி சாதம்
VR - Mango Rice,VR - மாங்காய் சாதம்
VR - Mushroom Fried Rice,VR - காளான் வறுத்த சாதம்
VR - P,VR - P
VR - Paneer Fried Rice,VR - பன்னீர் வறுத்த சாதம்
VR - Rasam Sadam,VR - ரசம் சாதம்
VR - Sambar Rice,VR - சாம்பார் சாதம்
VR - Sambarsatham Aravai,VR - சாம்பார் சாதம் அரைவை
VR - Sambarsatham Mix Veg,VR - சாம்பார் சாதம் கலவை காய்கறி
VR - Sarkarai Sadham,VR - சர்க்கரை சாதம்
VR - Semia Bagalabath,VR - சேமியா பாகலாபாத்
VR - Semiya Baghalabad,VR - சேமியா பாகலாபாத்
VR - Spring Onion Crumbled Paneer Fried Rice,VR - ஸ்பிரிங் வெங்காயம் உதிர்த்த பன்னீர் வறுத்த சாதம்
VR - Sweet Corn Pulao,VR - இனிப்பு கார்ன் புலாவ்
VR - Tomato Biriyani,VR - தக்காளி பிரியாணி
VR - Tomato Biriyani Paste,VR - தக்காளி பிரியாணி பேஸ்ட்
VR - Tomato Rice,VR - தக்காளி சாதம்
VR - Varagu Curd Rice,VR - வரகு தயிர் சாதம்
VR - Veg Briyani,VR - காய்கறி பிரியாணி
VR - Veg Briyani ( Basmathi),VR - காய்கறி பிரியாணி ( பாசுமதி)
VR - Veg Briyani (Seeraga Samba),VR - காய்கறி பிரியாணி (சீரக சம்பா)
VR - Veg Pulao,VR - காய்கறி புலாவ்
VR Karkandu Rice,VR - கற்கண்டு சாதம்
VR- Fried Rice,VR - வறுத்த சாதம்
VR- Malli Rice Aravai,VR - மல்லி சாதம் அரைவை
VR- Paneer Peas Pulao,VR - பன்னீர் பட்டாணி புலாவ்
VR- Peas Pulao,VR - பட்டாணி புலாவ்
VR- Sambar Rice Mix Veg,VR - சாம்பார் சாதம் கலவை காய்கறி
VR- Thinai Akkara Adisil,VR - தினை அக்கார அடிசில்
"VR-Arisi, Paruppu Sadham","VR - அரிசி, பருப்பு சாதம்"
VR-Carrot Rice,VR - கேரட் சாதம்
VR-Curd Rice (Pomegranate),VR - தயிர் சாதம் (மாதுளை)
VR-Ellu Podi Rice,VR - எள்ளு பொடி சாதம்
VR-Ellu Podi Rice Tempering,VR - எள்ளு பொடி சாதம் தாளிப்பு
VR-Ghee Rice,VR - நெய் சாதம்
VR-Hyd. Dhum Briyani,VR - Hyd. தம் பிரியாணி
VR-MEALMAKER BIR IYANI ARAVAI (NO OG),VR - மீல்மேக்கர் பிரியாணி அயனி அரைவை (வெங்காயம் இல்லாத வெங்காயம் பூண்டு)
VR-MEALMAKER BIRIYANI (NO OG),VR - மீல்மேக்கர் பிரியாணி (வெங்காயம் இல்லாத வெங்காயம் பூண்டு)
VR-Meal Maker Biriyani (Pacharisi),VR - உணவு மேக்கர் பிரியாணி (பச்சரிசி)
VR-Meal Maker Biriyani(Basmati),VR - உணவு மேக்கர் பிரியாணி(பாசுமதி)
VR-Mealmaker Biriyani Aravai,VR - மீல்மேக்கர் பிரியாணி அரைவை
VR-Methi Pulao,VR - வெந்தயக்கீரை புலாவ்
VR-Mushroom Biriyani,VR - காளான் பிரியாணி
VR-Mushroom Biriyani Aravai,VR - காளான் பிரியாணி அரைவை
VR-Navadhanya Pulao,VR - நவதானிய புலாவ்
VR-Paneer Briyani,VR - பன்னீர் பிரியாணி
VR-Paneer Tawa Fried Rice,VR - பன்னீர் தவா வறுத்த சாதம்
VR-Puliyotharai,VR - புளியோதரை
VR-SCHEZWAN FRIED RICE,VR - செஸ்வான் வறுத்த சாதம்
VR-SCHEZWAN PANEER FRIED RICE,VR - செஸ்வான் பன்னீர் வறுத்த சாதம்
VR-Sambar Rice Tempering,VR - சாம்பார் சாதம் தாளிப்பு
VR-Sambar Rice(No Onion),VR - சாம்பார் சாதம்(வெங்காயம் இல்லாத வெங்காயம்)
VR-Tomato Baath,VR - தக்காளி பாத்
VR-Tomato Baath Aravai,VR - தக்காளி பாத் அரைவை
VR-Veg Biriyani (No Onion),VR - காய்கறி பிரியாணி (வெங்காயம் இல்லாத வெங்காயம்)
VR-Veg Pulao(Pacharisi),VR - காய்கறி புலாவ்(பச்சரிசி)
VR-Weight Loss Biriyani,VR - எடை குறைப்பு பிரியாணி
VR-Weightloss Biriyani,VR - எடை குறைப்பு பிரியாணி
Vada - Beetroot Vadai,Vada - பீட்ரூட் வடை
Vada - Cabbage Vada,Vada - முட்டைக்கோஸ் வடை
Vada - Carrot Vada,Vada - கேரட் வடை
Vada - Karthikai Vada,Vada - கார்த்திகை வடை
Vada - Keerai Vada,Vada - கீரை வடை
Vada - Masal Vadai,Vada - மசால் வடை
Vada - Medium Vada,Vada - மீடியம் வடை
Vada - Mixed Veg Vada,Vada - கலவை காய்கறி வடை
Vada - Periya Vada,Vada - பெரிய வடை
Vada - Rasa Vadai,Vada - ரசம் வடை
Vada - Sabudana Vada,Vada - ஜவ்வரிசி வடை
Vada - Sago,Vada - ஜவ்வரிசி
Vada - Seriya Vadai,Vada - சரியாக வடை
Vada - Seriya Vadai (No Onion),Vada - சரியாக வடை (வெங்காயம் இல்லாத வெங்காயம்)
Vada - Snake Gourd Vadai,Vada - புடலங்காய் சுரைக்காய் வடை
Vada - Thavala Vadi,Vada - தவளை வடி
Vada - Thayir Vadai,Vada - தயிர் வடை
Vada - Uddina Vada,Vada - உளுந்து வடை
Vada - Vazhaipoo Vadai,Vada - வாழைப்பூ வடை
Vada - Vellai Karamani Vadai,Vada - வெள்ளை காராமணி வடை
Vada-Rasavadai Rasam,Vada - ரசவடை ரசம்
Vathal - Appala Poo,Vathal - அப்பள பூ
Vathal - Bat Vathal,Vathal - பாத் வற்றல்
Vathal - Corn Flakes,Vathal - கார்ன் அவல்
Vathal - Garlic Vathal,Vathal - பூண்டு வற்றல்
Vathal - Heart Vathal,Vathal - ஹார்ட் வற்றல்
Vathal - Milagai Vathal,Vathal - மிளகாய் வற்றல்
Vathal - Mor Milagaai,Vathal - மோர் மிளகாய்
Vathal - Mothira Vathal,Vathal - மோதிர வற்றல்
Vathal - Triangle vathal,Vathal - முக்கோண வற்றல்
Vathal -Urad Vathal,Vathal - உளுந்து வற்றல்
Vathal Fry,வற்றல் வறுவல்
Vathal-Vengaya Vathal,Vathal - வெங்காய வற்றல்
Veg Stew,காய்கறி ஸ்டூ
Ven Pongal (WS),வெண் பொங்கல் ()
Vendaikaai Fry,வெண்டைக்காய் வறுவல்
Viral Meen,விரால் மீன்
Viral Mein Only,விரால் மீன் மட்டும்
Vr-Lemon Rice,Vr - எலுமிச்சை சாதம்
WATER BOTTLE,தண்ணீர் பாட்டில்
WATER CAN,தண்ணீர் கேன்
Water Case,தண்ணீர் கேஸ்
Water Cup,தண்ணீர் கப்
Watermelon Juice,தர்பூசணி ஜூஸ்
Wheat Rava Payasam (Rich),கோதுமை ரவா பாயாசம் (ரிச்)
White Ellu Urundai,வெள்ளை எள்ளு உருண்டை
Whole Garam Masala to be discarded,முழு கரம் மசாலா நீக்கப்பட வேண்டியது
pickle pocket,ஊறுகாய் பாக்கெட்
soup cup & spoon,சூப் கப் & ஸ்பூன்
thonnai & spoon,தொன்னை & ஸ்பூன்
